agent,games,wins,ties,losses,win_rate,mean_reward,median_reward,mean_margin,best_reward
Valmorlee,12,7,0,5,0.5833,96285.17,98378.5,4792.08,125194.0
Nikita Lugovoy,9,6,0,3,0.6667,76633.0,75276.0,2418.67,116359.0
Efe Can Celiksoy,8,3,0,5,0.375,89366.38,92333.0,-717.75,124658.0
radiant-allomancer,7,5,0,2,0.7143,115237.71,116934.0,2736.71,136422.0
Stocks152,7,2,0,5,0.2857,87632.71,85402.0,-2106.71,125209.0
chocolat,6,2,0,4,0.3333,114311.33,116672.5,2062.83,122896.0
THUNDER THUNDER,5,5,0,0,1.0,86712.8,85378.0,5368.4,102022.0
HealthStone,5,4,0,1,0.8,79282.0,78039.0,2703.4,106632.0
ShaoCharles,5,4,0,1,0.8,98083.2,94810.0,3982.8,145550.0
VN-Orion,5,2,0,3,0.4,69913.2,61081.0,742.6,119919.0
brocade,5,2,0,3,0.4,86855.0,80892.0,-879.2,128133.0
Elzandi Irfan Zikra,5,2,0,3,0.4,83734.4,70287.0,646.6,130595.0
青烟,4,4,0,0,1.0,77285.25,58630.5,2062.0,140633.0
Seb (allegedly),4,0,0,4,0.0,76078.5,74058.0,-13359.75,96437.0
DL,3,2,0,1,0.6667,97475.33,93480.0,-422.67,126152.0
Mohammed Nomaan,3,2,0,1,0.6667,97173.0,97279.0,7368.67,100234.0
Wufang Hong,3,1,0,2,0.3333,110389.0,109386.0,-702.67,139319.0
Gbining,3,1,0,2,0.3333,50910.67,52024.0,-1292.33,54224.0
Ezzzzzekki,2,2,0,0,1.0,97482.5,97482.5,1465.5,146935.0
smlcr,2,1,0,1,0.5,118976.0,118976.0,-2613.5,120643.0
Yonatan Nemtsov,2,1,0,1,0.5,118538.5,118538.5,-4564.5,122988.0
Natalia Mawyin,2,1,0,1,0.5,120853.0,120853.0,-4176.5,128710.0
Freddy,2,0,0,2,0.0,46894.0,46894.0,-5728.5,47178.0
Zakaria Settar,2,0,0,2,0.0,71346.0,71346.0,-13185.5,78999.0
Latifa Riziki,2,0,0,2,0.0,91313.5,91313.5,-8921.5,113384.0
RuiKimura4,1,1,0,0,1.0,118588.0,118588.0,1811.0,118588.0
yjhv buddies,1,0,0,1,0.0,99865.0,99865.0,-16972.0,99865.0
Sheep,1,0,0,1,0.0,124653.0,124653.0,-2017.0,124653.0
chungkuangwen,1,0,0,1,0.0,71757.0,71757.0,-1037.0,71757.0
infamemconculcemus,1,0,0,1,0.0,51734.0,51734.0,-4724.0,51734.0
Hajime Tamura,1,0,0,1,0.0,80428.0,80428.0,-19806.0,80428.0
souju00,1,0,0,1,0.0,44624.0,44624.0,-4609.0,44624.0
