date,episode_count,top_avg_score,median_avg_score,top_median_gap,median_dod_delta,median_growth_from_start_pct
2026-07-30,864,1152.418623,669.750471,482.668,0.0,0.0
2026-07-31,928,1427.008312,1175.253007,251.755,505.503,75.48
2026-08-01,829,1580.555055,1348.186244,232.369,172.933,101.3
2026-08-02,793,2627.206525,2319.161237,308.045,970.975,246.27
2026-08-03,787,2960.127622,2730.38579,229.742,411.225,307.67
2026-08-04,755,2996.325092,2767.121715,229.203,36.736,313.16
2026-08-05,743,3022.814697,2838.60556,184.209,71.484,323.83
2026-08-06,683,3081.302969,2973.372293,107.931,134.767,343.95
2026-08-07,675,3132.62556,3028.590465,104.035,55.218,352.2
2026-08-08,675,3192.886787,3067.745951,125.141,39.155,358.04
2026-08-09,687,3218.132921,3068.009365,150.124,0.263,358.08
2026-08-10,685,3217.352596,3079.658269,137.694,11.649,359.82
