agent_a,agent_b,games,a_wins,b_wins,ties,a_win_rate
chocolat,radiant-allomancer,4,2,2,0,0.5
Valmorlee,brocade,2,1,1,0,0.5
THUNDER THUNDER,Valmorlee,2,2,0,0,1.0
Efe Can Celiksoy,VN-Orion,2,1,1,0,0.5
Nikita Lugovoy,Valmorlee,2,0,2,0,0.0
Efe Can Celiksoy,Nikita Lugovoy,2,0,2,0,0.0
Nikita Lugovoy,Stocks152,2,2,0,0,1.0
Yonatan Nemtsov,radiant-allomancer,1,0,1,0,0.0
Yonatan Nemtsov,smlcr,1,1,0,0,1.0
chocolat,smlcr,1,0,1,0,0.0
radiant-allomancer,yjhv buddies,1,1,0,0,1.0
VN-Orion,infamemconculcemus,1,1,0,0,1.0
Freddy,青烟,1,0,1,0,0.0
HealthStone,Wufang Hong,1,0,1,0,0.0
Gbining,HealthStone,1,0,1,0,0.0
Elzandi Irfan Zikra,brocade,1,1,0,0,1.0
DL,chungkuangwen,1,1,0,0,1.0
Sheep,radiant-allomancer,1,0,1,0,0.0
RuiKimura4,chocolat,1,1,0,0,1.0
Efe Can Celiksoy,Zakaria Settar,1,1,0,0,1.0
Stocks152,VN-Orion,1,1,0,0,1.0
Seb (allegedly),THUNDER THUNDER,1,0,1,0,0.0
Latifa Riziki,Valmorlee,1,0,1,0,0.0
DL,Mohammed Nomaan,1,0,1,0,0.0
ShaoCharles,Stocks152,1,1,0,0,1.0
ShaoCharles,Wufang Hong,1,1,0,0,1.0
Efe Can Celiksoy,Valmorlee,1,0,1,0,0.0
DL,Efe Can Celiksoy,1,1,0,0,1.0
VN-Orion,青烟,1,0,1,0,0.0
Natalia Mawyin,Valmorlee,1,0,1,0,0.0
Mohammed Nomaan,ShaoCharles,1,0,1,0,0.0
Hajime Tamura,Mohammed Nomaan,1,0,1,0,0.0
HealthStone,Valmorlee,1,1,0,0,1.0
Elzandi Irfan Zikra,Gbining,1,0,1,0,0.0
Elzandi Irfan Zikra,青烟,1,0,1,0,0.0
Elzandi Irfan Zikra,Seb (allegedly),1,1,0,0,1.0
Stocks152,THUNDER THUNDER,1,0,1,0,0.0
ShaoCharles,Zakaria Settar,1,1,0,0,1.0
Ezzzzzekki,Gbining,1,1,0,0,1.0
HealthStone,Nikita Lugovoy,1,1,0,0,1.0
Freddy,brocade,1,0,1,0,0.0
Efe Can Celiksoy,brocade,1,1,0,0,1.0
Ezzzzzekki,ShaoCharles,1,1,0,0,1.0
Latifa Riziki,Nikita Lugovoy,1,0,1,0,0.0
Nikita Lugovoy,souju00,1,1,0,0,1.0
Stocks152,Valmorlee,1,1,0,0,1.0
HealthStone,Seb (allegedly),1,1,0,0,1.0
Wufang Hong,青烟,1,0,1,0,0.0
Seb (allegedly),Valmorlee,1,0,1,0,0.0
Natalia Mawyin,Stocks152,1,1,0,0,1.0
Elzandi Irfan Zikra,THUNDER THUNDER,1,0,1,0,0.0
